sector_comprador,tipo_licitacion,tamano_proveedor,macrozona,anio,mes,monto_estimado,cantidad_adjudicada,n_oferentes,dias_cierre,extension_plazo,toma_razon,target
Municipalidad,LQ,Grande,Centro,2022,8,290663804.0,470,8,22,0,1,450000.0
Servicio de Salud,LR,Grande,Centro,2021,6,2267700016.0,3000,6,33,0,1,423000.0
Universidad Estatal,LP,Pequena,Centro,2024,5,337842486.0,499,12,18,0,0,466000.0
Servicio de Salud,L1,Mediana,Centro,2024,3,35925986.0,60,4,4,0,0,519000.0
Municipalidad,LE,Pequena,Norte Grande,2022,3,35102610.0,90,10,16,0,0,542000.0
Servicio de Salud,LE,Mediana,Centro Sur,2024,10,20124643.0,47,8,16,0,0,517000.0
Universidad Estatal,LP,Grande,Sur,2024,10,247133709.0,470,7,27,0,0,511000.0
Municipalidad,L1,Mediana,Centro,2022,6,16630660.0,21,2,13,1,0,682000.0
Gobierno Regional,L1,Pequena,Austral,2022,5,92211339.0,35,2,5,0,0,719000.0
Gobierno Regional,LE,Grande,Centro,2022,11,23133021.0,46,6,9,0,0,575000.0
Servicio de Salud,LQ,Micro,Centro,2024,6,319441196.0,467,3,22,0,1,499000.0
Municipalidad,LP,Micro,Centro,2021,4,257285051.0,373,6,18,0,0,532000.0
Municipalidad,LP,Pequena,Centro Sur,2024,3,448412870.0,415,3,17,0,0,605000.0
Servicio de Salud,LP,Micro,Centro,2024,3,161000377.0,316,2,10,1,0,620000.0
Municipalidad,LE,Mediana,Centro,2022,7,45157918.0,61,2,9,1,0,692000.0
Gobierno Regional,LP,Mediana,Sur,2023,11,189100079.0,237,3,17,0,0,550000.0
Universidad Estatal,L1,Grande,Sur,2022,2,92211339.0,8,4,6,0,0,589000.0
Gobierno Regional,LP,Micro,Sur,2023,7,155574923.0,304,6,23,0,0,623000.0
Municipalidad,LE,Pequena,Sur,2022,2,124586868.0,201,5,11,0,0,573000.0
Universidad Estatal,LQ,Grande,Norte Grande,2024,12,92211339.0,924,3,12,0,0,596000.0
Municipalidad,LE,Pequena,Norte Grande,2024,5,115965532.0,165,7,14,0,0,690000.0
Universidad Estatal,L1,Pequena,Norte Grande,2024,2,23046006.0,36,1,7,1,0,824000.0
Municipalidad,LE,Mediana,Centro Sur,2021,1,66745262.0,107,4,5,0,0,624000.0
Municipalidad,LQ,Grande,Norte Grande,2022,7,506488553.0,716,4,27,0,0,573000.0
Gobierno Regional,L1,Pequena,Norte Grande,2021,9,19063579.0,24,4,7,0,0,631000.0
Municipalidad,LP,Pequena,Centro,2021,7,255317514.0,522,9,21,0,0,547000.0
Universidad Estatal,LE,Mediana,Centro,2022,2,92211339.0,450,5,15,0,0,572000.0
Servicio de Salud,LQ,Mediana,Centro Sur,2021,10,557929100.0,690,4,21,0,0,552000.0
Municipalidad,LE,Mediana,Sur,2023,8,69535783.0,156,4,13,0,0,598000.0
Servicio de Salud,LP,Mediana,Centro Sur,2024,1,65596037.0,85,3,21,0,0,666000.0
Municipalidad,LQ,Grande,Centro,2022,7,1147379598.0,1427,7,22,0,0,511000.0
Servicio de Salud,L1,Micro,Norte Chico,2024,4,37032808.0,44,5,4,0,0,625000.0
Universidad Estatal,LP,Pequena,Centro Sur,2021,5,236361522.0,402,7,19,0,0,550000.0
Servicio de Salud,LQ,Grande,Centro,2024,8,276923644.0,575,6,26,0,1,434000.0
Servicio de Salud,LE,Mediana,Centro,2022,12,92211339.0,304,3,9,0,0,534000.0
Servicio de Salud,LP,Pequena,Centro,2021,2,1064766525.0,1540,6,24,0,0,457000.0
Municipalidad,LE,Pequena,Norte Grande,2023,12,117034836.0,322,2,8,1,0,836000.0
Universidad Estatal,LE,Mediana,Centro Sur,2022,2,31128176.0,37,6,13,0,0,534000.0
Municipalidad,L1,Grande,Centro,2022,2,25239537.0,46,3,10,0,0,666000.0
Servicio de Salud,LE,Mediana,Centro,2024,6,124262147.0,338,5,16,0,0,512000.0
Servicio de Salud,LR,Pequena,Centro,2023,6,92211339.0,2031,3,27,0,1,454000.0
Universidad Estatal,LP,Mediana,Centro Sur,2024,2,275580432.0,449,8,19,0,0,461000.0
Municipalidad,LE,Mediana,Norte Chico,2024,8,56962136.0,70,3,11,0,0,607000.0
Gobierno Regional,LR,Grande,Centro,2024,3,1179021698.0,2113,3,25,0,0,478000.0
Servicio de Salud,L1,Pequena,Austral,2021,8,92211339.0,15,6,4,0,0,727000.0
Ministerio,LE,Mediana,Centro,2024,8,86185207.0,169,2,13,1,0,493000.0
Municipalidad,LE,Micro,Norte Chico,2021,1,92211339.0,35,2,4,0,0,727000.0
Municipalidad,LE,Pequena,Centro,2021,3,97361730.0,181,10,15,0,0,553000.0
Gobierno Regional,L1,Pequena,Norte Grande,2024,3,59606353.0,66,1,6,1,0,738000.0
Municipalidad,LE,Mediana,Norte Chico,2022,10,56318776.0,82,3,12,0,0,591000.0
Municipalidad,L1,Micro,Sur,2024,7,32394571.0,40,3,4,0,0,689000.0
Servicio de Salud,L1,Micro,Sur,2024,6,19258506.0,34,5,8,0,0,645000.0
Servicio de Salud,L1,Mediana,Centro,2021,7,26207470.0,33,3,4,0,0,633000.0
Servicio de Salud,LE,Micro,Sur,2021,10,101440490.0,211,4,13,0,0,582000.0
Municipalidad,LE,Mediana,Centro,2022,9,82362788.0,158,2,7,0,0,622000.0
Servicio de Salud,LR,Mediana,Centro,2021,9,701037255.0,1093,6,24,0,0,504000.0
Municipalidad,L1,Grande,Norte Grande,2023,7,20401404.0,32,4,7,0,0,611000.0
Municipalidad,LQ,Mediana,Centro,2023,4,92211339.0,489,5,18,0,0,479000.0
Municipalidad,L1,Mediana,Sur,2021,11,3047300.0,6,2,6,0,0,781000.0
Municipalidad,LE,Micro,Sur,2023,10,37277426.0,69,5,13,0,0,665000.0
Universidad Estatal,LE,Mediana,Centro Sur,2022,9,106761584.0,165,5,4,0,0,517000.0
Universidad Estatal,LE,Pequena,Centro,2021,6,47275559.0,64,3,6,0,0,611000.0
Universidad Estatal,LP,Micro,Sur,2023,5,208032619.0,481,7,18,0,0,531000.0
Servicio de Salud,LE,Pequena,Sur,2023,10,53705722.0,87,5,17,0,0,555000.0
Universidad Estatal,LQ,Pequena,Centro,2021,12,561906549.0,701,11,24,0,1,543000.0
Servicio de Salud,LQ,Mediana,Centro,2021,6,600786341.0,631,2,28,1,1,503000.0
Universidad Estatal,L1,Micro,Centro,2022,9,43470022.0,71,6,8,0,0,602000.0
Ministerio,LE,Micro,Norte Chico,2023,10,134943606.0,208,6,11,0,0,538000.0
Servicio de Salud,LQ,Pequena,Sur,2023,10,960046574.0,1273,5,20,0,0,476000.0
Servicio de Salud,L1,Mediana,Centro,2022,8,27710619.0,33,5,6,0,0,592000.0
Ministerio,L1,Micro,Centro,2022,7,37907921.0,60,4,8,0,0,577000.0
Universidad Estatal,L1,Mediana,Centro Sur,2021,12,28365579.0,37,5,11,0,0,563000.0
Universidad Estatal,LR,Grande,Sur,2024,10,529564405.0,1152,7,31,0,0,494000.0
Municipalidad,LQ,Micro,Centro,2023,1,1427486091.0,2367,2,18,0,0,564000.0
Servicio de Salud,LP,Mediana,Centro,2024,12,379194999.0,741,6,15,0,0,500000.0
Gobierno Regional,LE,Mediana,Norte Grande,2021,12,80407026.0,151,7,22,0,0,527000.0
Municipalidad,L1,Mediana,Centro Sur,2024,5,92211339.0,44,1,7,1,0,664000.0
Municipalidad,LP,Pequena,Sur,2021,12,237663072.0,450,4,12,0,0,647000.0
Universidad Estatal,L1,Grande,Norte Grande,2022,11,92211339.0,86,3,5,0,0,595000.0
Municipalidad,LE,Pequena,Centro,2021,10,59244793.0,102,5,9,0,0,614000.0
Municipalidad,LE,Mediana,Centro,2024,5,43412614.0,46,3,12,0,0,575000.0
Universidad Estatal,LR,Grande,Centro Sur,2022,3,1733253583.0,2443,1,21,1,1,491000.0
Municipalidad,LE,Mediana,Sur,2022,4,54240307.0,83,7,10,0,0,659000.0
Municipalidad,LE,Pequena,Sur,2022,7,153769208.0,196,9,9,0,0,638000.0
Gobierno Regional,LP,Mediana,Centro Sur,2024,7,95900706.0,118,5,21,0,0,562000.0
Ministerio,L1,Mediana,Centro,2022,2,92211339.0,43,7,4,0,0,531000.0
Municipalidad,LE,Micro,Norte Chico,2021,12,172028577.0,327,2,11,1,0,748000.0
Universidad Estatal,L1,Micro,Centro,2022,3,92211339.0,71,3,6,0,0,638000.0
Servicio de Salud,LQ,Pequena,Sur,2024,8,501455240.0,713,6,20,0,1,509000.0
Gobierno Regional,LP,Mediana,Centro,2021,5,527702221.0,558,6,14,0,0,412000.0
Municipalidad,LE,Micro,Norte Grande,2021,11,255849193.0,309,3,6,0,0,746000.0
Ministerio,LP,Mediana,Norte Chico,2022,5,509063845.0,1067,5,16,0,0,437000.0
Universidad Estatal,L1,Grande,Centro,2024,5,35368384.0,67,2,8,1,0,546000.0
Universidad Estatal,L1,Pequena,Centro Sur,2022,1,15739331.0,28,4,4,0,0,654000.0
Servicio de Salud,L1,Pequena,Norte Grande,2021,2,10658374.0,15,3,5,0,0,722000.0
Municipalidad,L1,Mediana,Centro,2021,5,7912326.0,18,3,11,0,0,620000.0
Municipalidad,L1,Pequena,Centro,2022,6,5180338.0,10,2,6,1,0,678000.0
Universidad Estatal,LE,Grande,Centro Sur,2022,9,69492875.0,94,3,11,0,0,566000.0
Municipalidad,L1,Micro,Centro,2023,7,8034850.0,13,3,4,0,0,650000.0
Ministerio,LP,Mediana,Centro,2023,12,295862175.0,327,6,11,0,0,415000.0
Ministerio,LQ,Mediana,Sur,2022,8,302616355.0,474,13,25,0,1,480000.0
Gobierno Regional,LQ,Pequena,Norte Chico,2024,11,2309081859.0,2757,4,29,0,1,486000.0
Municipalidad,L1,Pequena,Centro Sur,2022,3,15572855.0,37,4,6,0,0,621000.0
Municipalidad,LE,Mediana,Sur,2024,7,118338061.0,171,3,7,0,0,665000.0
Servicio de Salud,LP,Pequena,Centro Sur,2022,4,422977271.0,629,1,12,1,0,679000.0
Universidad Estatal,LE,Mediana,Centro,2023,5,92211339.0,128,7,11,0,0,488000.0
Servicio de Salud,LE,Pequena,Austral,2023,11,69335847.0,167,4,10,0,0,629000.0
Municipalidad,LE,Grande,Centro,2023,12,92211339.0,170,6,6,0,0,574000.0
Municipalidad,L1,Mediana,Centro,2022,5,92211339.0,109,4,4,0,0,549000.0
Servicio de Salud,L1,Pequena,Centro,2023,2,100978261.0,113,9,10,0,0,453000.0
Universidad Estatal,L1,Micro,Norte Grande,2023,3,31873700.0,55,2,4,1,0,672000.0
Municipalidad,L1,Mediana,Centro,2022,10,14901439.0,25,4,6,0,0,630000.0
Ministerio,LQ,Mediana,Norte Grande,2023,7,274665070.0,430,7,24,0,1,524000.0
Ministerio,LP,Pequena,Sur,2021,10,341521131.0,512,2,22,1,0,594000.0
Ministerio,LE,Mediana,Centro Sur,2022,3,170440557.0,221,4,14,0,0,553000.0
Municipalidad,L1,Micro,Norte Grande,2023,12,92211339.0,61,5,8,0,0,696000.0
Municipalidad,L1,Micro,Centro,2022,3,30393631.0,71,3,8,0,0,581000.0
Municipalidad,LE,Pequena,Centro Sur,2024,6,36954394.0,77,4,13,0,0,634000.0
Servicio de Salud,L1,Mediana,Sur,2021,11,92211339.0,85,5,7,0,0,571000.0
Municipalidad,LQ,Pequena,Norte Chico,2023,6,881060061.0,1347,6,22,0,1,564000.0
Universidad Estatal,LE,Grande,Norte Grande,2024,10,286577764.0,381,2,10,0,0,528000.0
Servicio de Salud,L1,Grande,Sur,2024,12,37485414.0,77,3,4,0,0,575000.0
Gobierno Regional,LE,Pequena,Norte Grande,2024,2,220447756.0,346,1,4,1,0,646000.0
Gobierno Regional,LR,Mediana,Centro Sur,2024,8,92211339.0,1361,3,23,0,1,480000.0
Municipalidad,LQ,Micro,Sur,2022,6,1088802925.0,1053,4,18,0,1,595000.0
Municipalidad,L1,Grande,Sur,2023,8,43838149.0,62,5,7,0,0,691000.0
Municipalidad,LR,Mediana,Sur,2021,2,92211339.0,1583,9,28,0,1,482000.0
Ministerio,LE,Mediana,Sur,2023,2,87254222.0,178,4,7,0,0,504000.0
Gobierno Regional,L1,Pequena,Austral,2022,4,92211339.0,20,3,4,0,0,865000.0
Municipalidad,LE,Micro,Centro,2024,6,33438864.0,57,8,17,0,0,604000.0
Municipalidad,LP,Pequena,Norte Grande,2022,6,384603035.0,377,5,14,0,0,598000.0
Universidad Estatal,LQ,Pequena,Centro,2024,4,876326442.0,1525,8,18,0,1,491000.0
Ministerio,LE,Pequena,Norte Chico,2024,12,103565929.0,113,8,10,0,0,551000.0
Gobierno Regional,L1,Mediana,Centro Sur,2022,5,19886899.0,27,3,5,0,0,567000.0
Gobierno Regional,L1,Micro,Centro,2023,1,51485646.0,105,8,6,0,0,589000.0
Municipalidad,LE,Grande,Centro,2022,5,92211339.0,286,4,10,0,0,541000.0
Servicio de Salud,LE,Grande,Norte Chico,2022,11,90513788.0,205,4,12,0,0,630000.0
Municipalidad,LE,Grande,Sur,2023,9,49490021.0,90,8,18,0,0,569000.0
Municipalidad,LE,Grande,Sur,2024,4,95178998.0,102,2,19,0,0,579000.0
Servicio de Salud,L1,Mediana,Centro,2022,4,92211339.0,91,8,9,0,0,525000.0
Municipalidad,L1,Pequena,Centro,2024,2,20183352.0,27,5,4,0,0,598000.0
Ministerio,L1,Pequena,Centro,2024,10,27770083.0,38,5,14,0,0,497000.0
Municipalidad,LE,Grande,Centro Sur,2024,8,97968509.0,125,3,16,0,0,505000.0
Municipalidad,LE,Mediana,Centro Sur,2024,8,85896341.0,116,10,15,0,0,511000.0
Servicio de Salud,LE,Pequena,Centro Sur,2021,12,50257167.0,69,7,22,0,0,542000.0
Ministerio,LE,Pequena,Centro,2024,11,129250433.0,142,4,13,0,0,579000.0
Municipalidad,LP,Grande,Centro,2022,2,176556845.0,323,13,20,0,0,442000.0
Universidad Estatal,LE,Micro,Centro Sur,2021,8,92211339.0,102,9,19,0,0,515000.0
Servicio de Salud,LE,Grande,Centro Sur,2022,2,130499882.0,249,6,10,0,0,486000.0
Municipalidad,LP,Grande,Centro,2022,4,338023891.0,562,8,16,0,0,548000.0
Ministerio,LE,Pequena,Centro,2021,2,96960603.0,147,5,15,0,0,551000.0
Municipalidad,LE,Mediana,Centro,2024,2,75269793.0,127,4,9,0,0,521000.0
Universidad Estatal,LE,Micro,Centro,2023,8,188985295.0,311,8,9,0,0,521000.0
Servicio de Salud,LE,Micro,Centro,2021,8,111336808.0,229,5,14,0,0,533000.0
Servicio de Salud,LR,Pequena,Centro,2022,10,1189593660.0,1522,8,29,0,0,480000.0
Municipalidad,LE,Mediana,Centro Sur,2023,2,197972842.0,390,2,9,1,0,566000.0
Universidad Estatal,L1,Grande,Norte Chico,2023,11,3026380.0,4,4,4,0,0,685000.0
Servicio de Salud,L1,Micro,Centro,2024,8,92211339.0,32,5,11,0,0,568000.0
Ministerio,L1,Pequena,Austral,2023,5,92211339.0,45,1,6,1,0,817000.0
Ministerio,LE,Pequena,Centro Sur,2021,9,53936833.0,75,7,4,0,0,509000.0
Municipalidad,LR,Grande,Centro,2022,4,313813091.0,357,11,35,0,1,485000.0
Municipalidad,L1,Pequena,Sur,2021,8,2745278.0,4,2,5,1,0,710000.0
Universidad Estatal,LQ,Grande,Centro,2024,9,249176113.0,386,11,24,0,1,431000.0
Municipalidad,L1,Micro,Norte Grande,2024,11,19340437.0,31,3,4,0,0,749000.0
Municipalidad,L1,Mediana,Centro,2021,11,92211339.0,40,6,10,0,0,648000.0
Municipalidad,LP,Mediana,Centro,2023,1,92211339.0,614,4,15,0,0,615000.0
Universidad Estatal,LE,Pequena,Norte Grande,2024,9,64823663.0,114,5,19,0,0,571000.0
Municipalidad,L1,Mediana,Sur,2021,5,38651647.0,48,3,10,0,0,696000.0
Universidad Estatal,LE,Pequena,Centro,2023,11,32137893.0,63,4,16,0,0,596000.0
Ministerio,L1,Grande,Sur,2021,4,43923029.0,59,4,7,0,0,575000.0
Municipalidad,L1,Pequena,Centro,2022,6,11188022.0,22,4,4,0,0,688000.0
Municipalidad,LP,Mediana,Centro Sur,2024,11,191532593.0,342,9,21,0,0,551000.0
Universidad Estatal,LR,Pequena,Norte Grande,2023,10,92211339.0,1526,6,26,0,1,512000.0
Municipalidad,L1,Micro,Centro Sur,2022,1,22616438.0,40,4,4,0,0,707000.0
Gobierno Regional,LP,Mediana,Centro Sur,2022,9,114305224.0,211,4,16,0,0,599000.0
Municipalidad,LE,Pequena,Sur,2021,6,95252877.0,229,3,19,0,0,629000.0
Municipalidad,LE,Pequena,Centro,2024,3,57512877.0,85,7,9,0,0,550000.0
Municipalidad,L1,Mediana,Centro,2023,2,23184716.0,24,5,4,0,0,589000.0
Municipalidad,L1,Pequena,Centro,2023,10,92211339.0,25,1,4,0,0,643000.0
Servicio de Salud,LE,Pequena,Centro,2022,12,81237462.0,114,4,4,0,0,483000.0
Servicio de Salud,LE,Pequena,Centro Sur,2022,4,137227640.0,243,5,11,0,0,545000.0
Ministerio,LQ,Mediana,Centro,2023,4,160224201.0,332,7,24,0,1,404000.0
Municipalidad,LP,Micro,Centro,2023,3,98124534.0,155,7,18,0,0,663000.0
Municipalidad,L1,Mediana,Centro,2023,2,14638699.0,27,1,10,1,0,688000.0
Servicio de Salud,L1,Pequena,Centro,2021,11,12745470.0,22,3,5,0,0,583000.0
Universidad Estatal,LE,Mediana,Centro Sur,2021,4,93426973.0,164,6,14,0,0,474000.0
Servicio de Salud,L1,Grande,Centro Sur,2021,3,92211339.0,38,7,10,0,0,543000.0
Universidad Estatal,LP,Micro,Sur,2021,8,241007230.0,338,4,12,0,0,565000.0
Municipalidad,LE,Pequena,Sur,2021,12,75663287.0,83,4,6,0,0,645000.0
Servicio de Salud,LQ,Pequena,Norte Grande,2024,8,158804388.0,392,8,25,0,1,507000.0
Municipalidad,L1,Pequena,Centro Sur,2021,9,29920272.0,43,4,8,0,0,646000.0
Servicio de Salud,LE,Mediana,Centro,2023,1,92211339.0,134,2,11,1,0,639000.0
Municipalidad,L1,Micro,Centro,2022,2,19676021.0,43,4,4,0,0,698000.0
Gobierno Regional,LE,Grande,Centro,2024,11,100650343.0,108,6,14,0,0,542000.0
Servicio de Salud,LE,Mediana,Centro,2022,4,92211339.0,509,3,6,0,0,526000.0
Universidad Estatal,L1,Mediana,Centro,2024,9,32578432.0,52,3,8,0,0,503000.0
Municipalidad,LP,Mediana,Norte Grande,2023,3,438518804.0,654,4,21,0,0,657000.0
Municipalidad,LE,Pequena,Sur,2024,5,193837174.0,256,6,11,0,0,532000.0
Municipalidad,LP,Micro,Centro,2021,2,89534298.0,129,4,12,0,0,563000.0
Gobierno Regional,LE,Micro,Centro,2022,9,38928030.0,107,7,10,0,0,542000.0
Ministerio,L1,Mediana,Centro,2023,11,92211339.0,15,5,9,0,0,527000.0
Municipalidad,LP,Pequena,Centro,2021,2,36161280.0,62,5,20,0,0,597000.0
Servicio de Salud,L1,Pequena,Centro,2022,12,8710738.0,12,6,9,0,0,571000.0
Gobierno Regional,L1,Pequena,Centro Sur,2022,5,7646365.0,12,3,6,0,0,680000.0
Servicio de Salud,LQ,Mediana,Norte Chico,2022,12,684692529.0,1148,6,18,0,0,492000.0
Servicio de Salud,LE,Mediana,Sur,2024,2,188448713.0,211,5,17,0,0,552000.0
Servicio de Salud,LE,Pequena,Sur,2022,9,44488089.0,49,4,10,0,0,554000.0
Universidad Estatal,LE,Pequena,Centro,2021,3,31490147.0,47,7,18,0,0,482000.0
Servicio de Salud,L1,Mediana,Centro Sur,2024,3,28724804.0,39,6,4,0,0,515000.0
Municipalidad,LP,Mediana,Norte Grande,2022,2,402980914.0,518,1,8,1,0,621000.0
Municipalidad,L1,Pequena,Centro,2022,9,22661724.0,38,2,4,0,0,744000.0
Municipalidad,LQ,Pequena,Centro,2024,3,573579661.0,920,5,20,0,1,466000.0
Municipalidad,L1,Mediana,Centro Sur,2023,3,16827877.0,46,4,5,0,0,690000.0
Municipalidad,LE,Mediana,Centro,2021,6,67515160.0,144,5,5,0,0,558000.0
Gobierno Regional,LP,Pequena,Centro Sur,2021,8,278973813.0,303,6,15,0,0,554000.0
Ministerio,LR,Pequena,Norte Grande,2023,12,972520287.0,1514,2,12,1,1,559000.0
Servicio de Salud,LP,Mediana,Centro Sur,2024,11,291834683.0,312,12,24,0,0,468000.0
Universidad Estatal,LP,Micro,Centro,2022,2,426426993.0,476,1,16,1,0,573000.0
Servicio de Salud,LE,Mediana,Centro,2024,2,56326542.0,105,2,12,0,0,549000.0
Universidad Estatal,LQ,Pequena,Centro Sur,2021,12,92211339.0,869,10,31,0,0,478000.0
Gobierno Regional,LP,Mediana,Austral,2021,1,269557891.0,351,5,14,0,0,589000.0
Municipalidad,LE,Mediana,Centro,2024,6,137393749.0,250,4,12,0,0,504000.0
Municipalidad,L1,Micro,Norte Grande,2024,12,15732383.0,24,4,8,0,0,741000.0
Municipalidad,L1,Micro,Centro,2022,12,29867257.0,39,2,4,1,0,786000.0
Municipalidad,L1,Pequena,Austral,2023,5,92211339.0,25,1,4,0,0,786000.0
Municipalidad,LE,Mediana,Centro Sur,2024,5,92211339.0,146,8,7,0,0,579000.0
Municipalidad,LE,Micro,Centro,2021,4,35482718.0,56,4,12,0,0,625000.0
Servicio de Salud,LR,Pequena,Norte Grande,2021,8,92211339.0,1303,6,20,0,0,536000.0
Servicio de Salud,LP,Mediana,Centro,2024,12,177079174.0,308,2,17,1,0,626000.0
Ministerio,LP,Mediana,Austral,2024,2,372531848.0,601,5,13,0,0,560000.0
Municipalidad,LE,Mediana,Centro,2024,11,92211339.0,176,4,14,0,0,605000.0
Municipalidad,LE,Pequena,Centro Sur,2022,4,82107388.0,174,4,4,0,0,611000.0
Municipalidad,LP,Micro,Centro,2024,9,92211339.0,357,12,19,0,0,479000.0
Municipalidad,LE,Micro,Centro,2021,11,82710912.0,130,5,15,0,0,603000.0
Universidad Estatal,L1,Micro,Sur,2024,9,19812798.0,25,5,7,0,0,660000.0
Municipalidad,LE,Mediana,Norte Chico,2023,2,100099597.0,184,4,9,0,0,627000.0
Ministerio,LE,Mediana,Centro Sur,2023,12,60352524.0,96,6,10,0,0,604000.0
Servicio de Salud,LP,Mediana,Centro,2022,5,132100165.0,224,6,17,0,0,520000.0
Servicio de Salud,LP,Pequena,Centro,2021,11,819860184.0,956,6,16,0,0,470000.0
Municipalidad,LE,Mediana,Centro,2023,6,142176057.0,187,5,9,0,0,505000.0
Municipalidad,LE,Mediana,Centro,2024,5,83949686.0,142,5,8,0,0,551000.0
Ministerio,LE,Grande,Centro,2021,11,42200865.0,75,3,12,0,0,572000.0
Municipalidad,LE,Pequena,Centro Sur,2022,4,231022542.0,204,4,8,0,0,532000.0
Gobierno Regional,LE,Pequena,Centro,2021,10,74701045.0,112,5,5,0,0,566000.0
Gobierno Regional,LE,Grande,Norte Grande,2021,4,40345186.0,58,3,15,0,0,635000.0
Municipalidad,L1,Pequena,Centro,2023,7,92211339.0,10,5,7,0,0,563000.0
Municipalidad,LQ,Micro,Centro Sur,2022,3,92211339.0,1152,5,22,0,0,595000.0
Ministerio,LR,Pequena,Austral,2022,11,774472015.0,1463,3,28,0,0,616000.0
Municipalidad,LQ,Micro,Norte Chico,2023,8,677673615.0,820,3,21,0,0,600000.0
Universidad Estatal,LE,Grande,Centro,2023,4,234610160.0,286,6,8,0,0,457000.0
Gobierno Regional,LP,Mediana,Norte Grande,2023,6,297239944.0,621,2,18,0,0,603000.0
Ministerio,L1,Micro,Centro,2024,3,27333972.0,34,7,4,0,0,554000.0
Universidad Estatal,LP,Pequena,Centro,2023,8,92211339.0,1118,2,7,1,0,581000.0
Universidad Estatal,LE,Grande,Norte Chico,2023,7,66448832.0,77,5,10,0,0,579000.0
Universidad Estatal,LP,Pequena,Centro,2021,7,1207266932.0,1190,12,14,0,0,453000.0
Municipalidad,LP,Grande,Sur,2021,1,471776948.0,546,3,19,0,0,551000.0
Municipalidad,LQ,Mediana,Centro Sur,2021,9,478364830.0,646,4,21,0,1,581000.0
Gobierno Regional,LP,Grande,Austral,2024,11,329847306.0,469,5,26,0,0,576000.0
Servicio de Salud,L1,Mediana,Sur,2022,3,92211339.0,17,2,4,1,0,709000.0
Ministerio,L1,Micro,Centro,2023,6,19063604.0,32,5,12,0,0,528000.0
Servicio de Salud,L1,Pequena,Centro Sur,2022,1,87596734.0,81,5,4,0,0,620000.0
Ministerio,LE,Mediana,Centro Sur,2024,1,14480467.0,30,1,11,1,0,654000.0
Municipalidad,L1,Micro,Norte Grande,2022,2,20487712.0,39,3,4,0,0,762000.0
Gobierno Regional,L1,Pequena,Centro,2022,6,24875015.0,30,2,6,0,0,602000.0
